field_1,route_n,next_stop_,name,bus,tram,trolley,minibus,lat,lon,Широта.(МС,Долгота.(М,n_bus,n_tram,n_trolley,n_minibus,n_all,NA,name_2,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,name_3,place,name_en,name_ru,boundary,cladr_code,population,addr_regio,admin_leve,addr_count,addr_distr,addr_postc,landuse,addr_city,source,wikipedia,populati_1,fixme,cladr_name,cladr_suff,note,oktmo_user,old_name,official_s,is_in_city,website,descriptio_2,name_udm,is_in,source_url,name_de,name_lt,start_date,name_os,source_ref,name_uk,contact_we,official_n,pop,denspop
3193,96,"435,024431359293",Магазин,"96, 94, 71, 67",NA,NA,"96, 94, 93, 73, 71, 67, 25, 23, 20, 10",47.22750,39.62985,422467.41838,2197608.39248,4,0,0,10,14,32,339-Еременко,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
5124,96,"359,147705516714",пл. 339-й Стрелковой дивизии,"94, 26, 71, 96, 67",NA,NA,"23, 20, 10, 25, 59, 40, 67, 52, 96, 94, 93, 73, 71",47.22329,39.63034,421998.73699,2197637.38471,5,0,0,13,18,55,339-Еременко,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
9594,96,"388,115363377321",ул. Кустанайская,"71, 67, 26, 94, 96",NA,NA,"71, 10, 20, 23, 25, 40, 52, 67, 73, 93, 94, 96, 59",47.21999,39.63201,421629.67494,2197757.51200,5,0,0,13,18,94,Тружиников-Плевен,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
11354,96,"326,49777504717",Университет,"96, 26, 67, 71, 94",NA,NA,"25, 23, 20, 71, 40, 73, 52, 59, 67, 96, 94, 93, 10",47.21574,39.63408,421154.47774,2197906.12784,5,0,0,13,18,105,Тружиников-Плевен,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
9324,96,"103,802917980562",ул. Зорге,"67, 71, 94, 96, 26",NA,NA,"40, 10, 20, 25, 96, 52, 59, 67, 71, 73, 93, 94, 23",47.21287,39.63497,420834.24693,2197968.03052,5,0,0,13,18,86,Тружиников-Плевен,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
9342,96,"382,33172776915",ул. Зорге/пр. Стачки,"96, 94",NA,8,"96, 94, 93, 73, 20, 10",47.21194,39.63487,420730.98726,2197958.66889,2,0,1,6,9,88,Тружиников-Плевен,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
5503,96,"316,862347221003",пл. Плевен,"98, 96, 94, 57, 34",NA,8,"98, 96, 94, 93, 73, 34, 20, 10",47.20828,39.63465,420324.38351,2197934.97177,5,0,1,8,14,60,Тружиников-Плевен,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
11333,96,"338,259799786994",Универсам,"98, 96, 94, 57, 34",NA,8,"98, 96, 94, 93, 73, 34, 20, 10",47.20800,39.62918,420300.43065,2197520.03358,5,0,1,8,14,103,Тружиников-Плевен,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
7883,96,"191,509621842706",Сказка,"98, 96, 94, 57, 34",NA,8,"98, 96, 94, 93, 73, 34, 20, 10",47.20789,39.62471,420294.08691,2197181.17920,5,0,1,8,14,76,Тружиников-Плевен,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
5873,96,"269,408213895687",Поликлиника больницы №20,"98, 96, 94, 57, 34",NA,12,"98, 96, 94, 93, 73, 34, 20, 10",47.20772,39.62219,420278.51399,2196989.93724,5,0,1,8,14,64,ГПЗ-Кашира-Извилистая-Краснодар-Коммун-Малина,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
