"";"route_n";"next_stop_dist";"name";"bus";"tram";"trolley";"minibus";"lat";"lon";"Широта.(МСК-61)";"Долгота.(МСК-61)";"n_bus";"n_tram";"n_trolley";"n_minibus";"n_all";"NA"
"5844";"63";344,9492;"Поликлиника №16";"92a, 83, 65, 63, 33, 18п";NA;"6";"95, 83, 65, 63, 56, 44, 25, 11";47,28503;39,71554;428754,2;2204202;6;0;1;8;15;40
"1424";"63";291,8552;"бул. Комарова";"92a, 78, 65, 63, 33, 18л";NA;"6";"95, 83, 65, 63, 56, 44, 25, 11";47,2882;39,71521;429107,1;2204183;6;0;1;8;15;4
"11794";"63";212,6202;"Шаталова";"92a, 83, 65, 63, 33, 18п";NA;"6";"95, 83, 65, 63, 56, 44, 25, 11";47,292;39,71387;429531,2;2204088;6;0;1;8;15;86
"5404";"63";507,7674;"пл. Королева";"92a, 83, 65, 63, 33, 18п";NA;"6";"95, 83, 65, 63, 56, 44, 25, 11";47,29425;39,71337;429781,9;2204054;6;0;1;8;15;32
"2222";"63";273,7531;"Дом детского творчества";"65, 63";NA;NA;"65, 63, 29, 11";47,29874;39,71228;430282,5;2203980;2;0;0;4;6;13
"10383";"63";360,4106;"ул. Орбитальная, 42";"65, 63";NA;NA;"65, 63, 38, 29, 11";47,30052;39,71495;430477,1;2204185;2;0;0;5;7;74
"10403";"63";308,5563;"ул. Орбитальная, 54";"65, 63";NA;NA;"65, 63, 38, 29, 11";47,3011;39,72045;430534,8;2204602;2;0;0;5;7;76
"10423";"63";484,0561;"ул. Орбитальная, 64";"65, 63";NA;NA;"65, 63, 38, 29, 11";47,30163;39,72527;430587,8;2204968;2;0;0;5;7;78
"10433";"63";277,9191;"ул. Орбитальная, 70";"65, 63";NA;NA;"65, 63, 38, 29, 11";47,30244;39,73243;430669,1;2205511;2;0;0;5;7;79
"2653";"63";NA;"Институт сервиса";"65, 63";NA;NA;"65, 63, 38, 29, 11";47,30286;39,73632;430711,1;2205805;2;0;0;5;7;17
"2644";"65";277,9191;"Институт сервиса";"65, 63";NA;NA;"65, 63, 38, 29, 11";47,30293;39,73604;430719,2;2205784;2;0;0;5;7;5
"10444";"65";484,0561;"ул. Орбитальная, 70";"65, 63";NA;NA;"11, 65, 63, 38, 29";47,30244;39,73157;430670,2;2205446;2;0;0;5;7;38
"10414";"65";308,5563;"ул. Орбитальная, 64";"65, 63";NA;NA;"65, 63, 38, 29, 11";47,30167;39,72445;430593,3;2204906;2;0;0;5;7;35
"10393";"65";360,4106;"ул. Орбитальная, 54";"65, 63";NA;NA;"65, 63, 29, 11";47,30116;39,71963;430542,5;2204540;2;0;0;4;6;33
"10373";"65";249,1939;"ул. Орбитальная, 42";"65, 63";NA;NA;"65, 63, 29, 11";47,30063;39,7146;430489,7;2204159;2;0;0;4;6;31
"2223";"65";506,5536;"Дом детского творчества";"65, 63";NA;NA;"65, 63, 29, 11";47,29874;39,71228;430282,5;2203980;2;0;0;4;6;4
"5395";"65";212,6202;"пл. Королева";"92a, 65, 63, 18л";NA;"6";"83, 65, 63, 56, 44, 25, 11";47,29391;39,71387;429743,5;2204092;4;0;1;7;12;9
"11785";"65";291,8552;"Шаталова";"63, 18л, 92a, 65";NA;"6";"83, 65, 63, 56, 44, 25, 11";47,29079;39,71461;429395,7;2204142;4;0;1;7;12;48
"1435";"65";344,9492;"бул. Комарова";"92a, 83, 65, 63, 33, 18п";NA;"6";"95, 83, 65, 63, 56, 44, 25, 11";47,28809;39,71482;429095,3;2204153;6;0;1;8;15;2
"5835";"65";424,4082;"Поликлиника №16";"92a, 78, 65, 63, 33, 18л";NA;"6";"95, 83, 65, 63, 56, 44, 25, 11";47,2851;39,71588;428761,6;2204228;6;0;1;8;15;13
