Наименование остановки,Автобус,Трамвай,Троллейбус,Маршрутное такси,"Широта 
(ГСК-2011)","Долгота 
(ГСК-2011)","Широта 
(МСК-61)","Долгота 
(МСК-61)"
Березка,"69, 36",,,95,47.27462,39.79331,"427504,159311965","2210067,33190192"
Березка,"69, 42а, 42, 35а, 35",,,"59, 58, 24",47.28593,39.8019,"428751,657602175","2210736,34236766"
Березка,"69a, 42а, 42, 35а, 35",,,"59, 58, 24",47.286,39.80181,"428759,543013569","2210729,65200186"
Ближние сады,,,,"29, 11",47.32312,39.75127,"432945,539277804","2206971,65469732"
Больница,,,,48,47.21683,39.67712,"421220,187719733","2201168,33996212"
Больница,,,,48,47.21681,39.67749,"421217,495216564","2201196,32887272"
Больница,"36, 28",,,"92, 90, 44",47.28362,39.77971,"428520,525073156","2209053,74761469"
Больница,"94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5",,,"94, 66, 63, 58, 14",47.249,39.72889,"424732,297331413","2205147,23298639"
Больница,"96, 63, 58, 42а, 42, 35а, 35, 18л, 17, 5",,,"96, 66, 63, 58, 14",47.24925,39.72901,"424759,944648041","2205156,76401733"
Больница №20,34а,,,"44, 10",47.20347,39.62104,"419807,551033636","2196894,56755827"
Больница №20,34а,,,44,47.2034,39.62234,"419798,050718456","2196992,92657977"
Больница СКЖД,9,,,"93, 25, 23, 12",47.22803,39.68865,"422450,771468859","2202062,35399558"
Ботанический сад,37,,,"93, 25, 23, 20, 12",47.22795,39.65867,"422479,987947417","2199791,80874104"
Бочка,57,,,,47.1725,39.55451,"416454,681912256","2191790,90518855"
Бочка,57,,,,47.17262,39.555,"416467,342965218","2191828,29565851"
БСМП-2,46,,,38,47.27213,39.7104,"427326,424905738","2203789,50528221"
БСМП-2,46,,,,47.27191,39.70983,"427302,670949408","2203745,97530431"
бул. Комарова,"92a, 78, 65, 63, 33, 18л",,6,"95, 83, 65, 63, 56, 44, 25, 11",47.2882,39.71521,"429107,062929142","2204182,52789439"
бул. Комарова,"92a, 83, 65, 63, 33, 18п",,6,"95, 83, 65, 63, 56, 44, 25, 11",47.28809,39.71482,"429095,313784413","2204152,82748088"
бул. Комарова,"45, 46, 47, 77, 96, 21",,,"38, 11, 21, 96, 44, 45, 47, 66, 77, 95, 19",47.28963,39.70367,"429280,308594408","2203312,199275"
