Наименование остановки,Автобус,Трамвай,Троллейбус,Маршрутное такси,"Широта 
(ГСК-2011)","Долгота 
(ГСК-2011)","Широта 
(МСК-61)","Долгота 
(МСК-61)"
"С/т ""Братство""","10, 1",,,"43, 10",47.28842,39.66155,"429198,955644494","2200123,85637818"
"С/т ""Братство""","10, 1",,,"43, 10",47.28836,39.6614,"429192,477617489","2200112,3966261"
"С/т ""Вираж""","10, 1",,,"43, 10",47.29254,39.66049,"429658,353496935","2200051,44722787"
"С/т ""Вираж""","27, 18п, 18л, 10, 1",,,"43, 10",47.29329,39.66077,"429741,374751305","2200074,04081412"
"С/т ""Мичуринец"", пос. Камышеваха","69, 42а, 35а, 35, 3а",,,,47.2986,39.80233,"430159,747919262","2210790,21413277"
"С/т ""Мичуринец"", пос. Камышеваха","35, 3а, 69a, 42а, 35а",,,,47.2985,39.80266,"430148,252286892","2210815,00359761"
"С/т ""Салют""","27, 18п, 18л, 10, 1",,,"43, 10",47.2959,39.66603,"430024,80193946","2200476,79689887"
"С/т ""Салют""","27, 18п, 18л, 10, 1",,,"43, 10",47.2959,39.66583,"430025,05763136","2200461,67019735"
"С/т ""Спутник""","27, 18п, 18л",,,,47.28584,39.66697,"428905,18819257","2200529,0039381"
"С/т ""Спутник""","27, 18п, 18л",,,,47.28529,39.66767,"428843,148429619","2200580,92541009"
"С/т ""Спутник""","10, 1",,,"43, 10",47.28576,39.66211,"428902,514306513","2200161,20461571"
"С/т ""Спутник""","10, 1",,,"43, 10",47.28579,39.66195,"428906,054694204","2200149,15747922"
"С/т ""Энергия""","27, 10",,,,47.29714,39.67034,"430157,157371586","2200805,09979211"
"С/т ""Энергия""","27, 18п, 18л, 10, 1",,,"43, 10",47.29723,39.6702,"430167,341455691","2200794,67993214"
Сады,34а,,,44,47.20627,39.6458,"420086,390167856","2198775,84804344"
Сады,"37, 15",,,"93, 48, 25, 23, 20",47.23015,39.64468,"422742,651056522","2198736,53743159"
Сады,"37, 15",,,"93, 48, 25, 23, 20",47.23011,39.64497,"422737,827375484","2198758,42203856"
Сады,"35, 3а, 42а, 42",,,"93, 59, 58, 24",47.27781,39.80283,"427847,854881222","2210793,02469138"
Сады,"42а, 42, 35, 3а",,,"93, 59",47.27791,39.80273,"427859,086893237","2210785,62708679"
Сады,"90а, 36",,,,47.31247,39.79041,"431715,473853122","2209912,31056918"
Сады,"69a, 69, 35, 22",,,,47.29831,39.75652,"430181,027279529","2207325,10015904"
Сады,"69a, 69, 35, 22",,,,47.2985,39.75666,"430201,983798002","2207336,02087114"
Сады,69a,,,"95, 58",47.27762,39.80158,"427828,164571743","2210698,12997869"
"Сады ""Виноградарь""","69a, 69, 28",,,,47.30469,39.78303,"430859,102436932","2209340,98427979"
"Сады ""За дружбу""","27, 18п, 18л",,,,47.28808,39.66489,"429156,877505795","2200375,86855183"
"Сады ""За дружбу""","27, 18п, 18л",,,,47.28811,39.66503,"429160,033610261","2200386,5152122"
"Сады ""Звезда""","27, 18п, 18л",,,,47.28414,39.67308,"428708,404870533","2200988,03564429"
Сады Геологов,"27, 18п, 18л",,,,47.29232,39.66104,"429633,189253504","2200092,63334729"
Сады Геологов,"27, 18п, 18л",,,,47.29193,39.66155,"429589,176996468","2200130,47374841"
Сады СКВО,"10, 1",,,"43, 10",47.27481,39.66431,"427682,340493416","2200307,03263437"
Сады СКВО,"10, 1",,,"43, 10",47.27412,39.66459,"427605,272114309","2200326,92091192"
Сбербанк,,,,48,47.21543,39.6826,"421057,612334554","2201580,83527629"
Сбербанк,,,,48,47.21524,39.6829,"421036,11076721","2201603,20776797"
Свято-Иверский женский монастырь,,,,"78, 44, 23, 11",47.28242,39.69437,"428490,333733793","2202595,46924078"
Северный рынок,"92a, 21, 33, 45, 47, 63, 65, 77, 78, 18л",,6,"25, 45, 47, 56, 63, 65, 66, 77, 83, 21",47.28091,39.71683,"428294,610173732","2204291,9044413"
Северный рынок,"92a, 21, 33, 45, 47, 63, 65, 77, 83, 18п",,6,"25, 38, 45, 47, 56, 63, 65, 66, 77, 83, 21",47.28131,39.71649,"428339,497805821","2204266,90440059"
Сельмаш,,"10, 4",,,47.25427,39.76499,"425274,863585781","2207889,17585913"
Сельмаш,"98, 67, 54, 11, 3а, 3",,"5, 1","79, 66, 59, 40, 29, 24, 19",47.25445,39.76536,"425294,437438249","2207917,49482293"
Сельмаш,"63, 58, 42а, 42, 35а, 35, 17, 5",,,"63, 19, 14",47.25378,39.76347,"425222,186854734","2207773,27029366"
Сельмаш,"94, 36, 28, 14",,,"94, 66, 58, 30",47.25494,39.76415,"425350,343677147","2207826,75806976"
Сельмаш,"89, 18п",,,,47.25599,39.7647,"425466,425597602","2207870,21278121"
СИ и ТО,"94, 89, 54, 18п",,,"94, 79, 30, 29, 19",47.27069,39.76212,"427103,738310461","2207700,52470867"
СИ и ТО,"96, 89, 54, 28, 18л",,,"96, 79, 30, 29, 19",47.27097,39.76206,"427134,93818697","2207696,47211188"
СИ и ТО,90,,,,47.2723,39.76128,"427283,724616925","2207639,76760507"
Сиверса,,"10, 7",,,47.22374,39.68802,"421974,630843849","2202006,72627278"
Сиверса,,"10, 7",,"58, 20",47.22399,39.68729,"422003,342166372","2201951,90031539"
Сказка,"98, 96, 94, 57, 34",,8,"98, 96, 94, 93, 73, 34, 20, 10",47.20789,39.62471,"420294,086914214","2197181,17920277"
СКЛП,31,,,73,47.20041,39.69844,"419367,920088555","2202753,19834218"
СКЛП,31,,,73,47.2004,39.69826,"419367,032879087","2202739,54149346"
СМП-550,70,,,14,47.25157,39.83194,"424897,703458044","2212952,4024003"
Смычка,,,,8,47.1914,39.6229,"418463,243110673","2197012,10522244"
Смычка,,,,4,47.19156,39.62271,"418481,281596117","2196998,0165861"
"Совхоз ""Декоративные культуры""","90а, 36",,,,47.31249,39.79586,"431711,402850185","2210324,41981569"
Совхоз СКВО,"27, 18п, 18л, 10, 1",,,"43, 10",47.30367,39.67705,"430874,598453554","2201324,75747654"
Совхоз СКВО,"27, 18п, 18л, 10, 1",,,"43, 10",47.30366,39.677,"430873,550091989","2201320,95771749"
Солидарности,68,,,,47.23007,39.79341,"422551,246126173","2209999,33442551"
Соловушки,"90, 89, 69, 54, 18л",,,"95, 92, 90, 79, 44",47.28125,39.76289,"428276,826120436","2207777,16829949"
Соловушки,"89, 69a, 54, 22, 18п",,,"95, 92, 90, 79, 44",47.28157,39.7619,"428313,5749515","2207702,82762782"
Спортивный комплекс,34а,,,44,47.20355,39.62568,"419810,319541115","2197246,2726427"
Спортивный комплекс,34а,,,44,47.20348,39.6263,"419801,720587276","2197293,11168203"
"СТ ""Агропром""",92a,,,,47.31404,39.7712,"431912,435096902","2208462,5553246"
Ст. Первомайская,"96, 94",,,"98, 96, 94",47.20029,39.60731,"419472,270414871","2195848,0797865"
Стадион СКА,"90а, 90, 22",,,"92, 90",47.27345,39.72992,"427449,24497284","2205268,89479276"
Стадион СКА,"90а, 90, 22",,,"92, 90",47.27315,39.72807,"427418,144804278","2205128,37632027"
Стартовая,"47, 45, 21",,,"19, 66, 47, 45, 21",47.28892,39.69251,"429215,294386751","2202466,7214828"
Стартовая-1,"47, 45, 21",,,"66, 47, 45, 21, 19",47.2942,39.69339,"429801,192759653","2202543,00253274"
Стартовая-2,"47, 45, 21",,,"66, 47, 45, 21, 19",47.29344,39.68933,"429721,790628628","2202234,51761318"
Столбовая,"27, 18п, 18л",,,,47.28398,39.67785,"428684,562705856","2201348,58970468"
Столбовая,"27, 18п, 18л",,,,47.28405,39.67781,"428692,395572145","2201345,69401679"
Стретенский храм,68,,,,47.23179,39.81889,"422713,351722626","2211931,72962837"
Стройгородок,"99, 96, 94, 49, 10",,,"99, 96, 94, 49, 10",47.25824,39.64545,"425864,50801227","2198848,41019048"
Стройгородок,"99, 96, 94, 49, 10",,,"99, 96, 94, 49, 10",47.25821,39.64633,"425860,030528663","2198914,95771913"
"Супермаркет ""О`КЕЙ""",,,,30,47.28927,39.70564,"429237,84127363","2203460,55902925"
"Супермаркет ""О`КЕЙ""",,,,30,47.28904,39.70422,"429214,032880842","2203352,72627736"
"Супермаркет ""Тихий Дон""",,,,"99, 90, 78, 58, 38, 6",47.21341,39.70967,"420799,221288775","2203627,6766537"
"Супермаркет ""Тихий Дон""",,,,"99, 90, 78, 58, 38, 20, 6",47.2135,39.70937,"420809,597780472","2203605,11462394"
Табачная фабрика,31,,,73,47.19625,39.69178,"418913,770230698","2202240,92022132"
Театральный/Горького,,"10, 4, 1",,,47.2321,39.73982,"422840,215418436","2205944,68959829"
ТК Лента,,,,"73, 55",47.23676,39.59887,"423538,044188937","2195280,51735436"
Торговое училище,"94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5",,,"94, 66, 63, 58, 14",47.24893,39.74301,"424707,420668899","2206216,00099509"
Торговое училище,"96, 63, 58, 42а, 42, 35а, 35, 18л, 17, 5",,,"96, 66, 63, 58, 14",47.24905,39.74237,"424721,532146161","2206167,76482817"
Торговый центр,"71, 67, 26",,,"73, 67, 59, 55, 48",47.23212,39.61041,"423006,759256181","2196145,22149579"
Торговый центр,"71, 67, 26",,,"73, 67, 59, 55, 48",47.23241,39.60795,"423042,280475854","2195959,50805538"
Тренёва,"41, 34а, 34, 26, 16, 15, 67, 71, 98, 57, 64",,8,"67, 16, 34, 40, 44, 52, 59, 71, 98, 55",47.21137,39.66579,"420627,611598386","2200299,88700912"
"ТРЦ ""Горизонт""","92a, 18п, 21, 22, 33, 45, 46, 47, 63, 65, 77, 83, 2, 90а, 90",,6,"21, 25, 45, 47, 56, 63, 65, 66, 77, 83, 90, 92",47.25983,39.7177,"425949,993277757","2204319,68303993"
"ТРЦ ""Горизонт""","45, 2, 18л, 21, 33, 46, 47, 63, 65, 78, 90, 90а, 92a, 77, 22",,6,"25, 63, 65, 66, 77, 83, 90, 92, 45, 21, 56, 47",47.26037,39.71823,"426009,376254103","2204360,77004764"
"ТЦ ""МегаМаг""","75, 31",,,73,47.20302,39.72341,"419627,240285046","2204649,85203312"
"ТЦ ""Меркурий""","36, 28, 3а",,,"92, 90",47.29284,39.78391,"429540,657062104","2209387,25568807"
"ТЦ ""МЕТРО""",,,,"52, 40, 16",47.23737,39.60744,"423594,379333129","2195930,61399935"
"ТЦ ""Тимоша""",39,,,,47.20933,39.8082,"420228,535414612","2211084,6240428"
ТЭЦ-2,32,,,,47.21383,39.5806,"421013,566927101","2193851,32671956"
ТЭЦ-2,"64, 32",,,,47.21359,39.58086,"420986,531553969","2193870,54230217"
УЖКХ,11,,,,47.25658,39.77363,"425521,495116345","2208547,1477958"
УЖКХ,11,,,52,47.25661,39.77405,"425524,337313512","2208578,98923961"
ул. 12-го Декабря,3,,,,47.26693,39.77814,"426666,861254396","2208906,2922004"
ул. 12-го Декабря,3,,,,47.2666,39.77787,"426630,489632993","2208885,29275277"
ул. 12-го февраля,60,,,,47.23659,39.67607,"423418,299029461","2201125,61237809"
ул. 12-го февраля,60,,,,47.23624,39.67601,"423379,464529612","2201120,41723089"
ул. 12-го февраля,9,,,,47.23681,39.6718,"423448,183861506","2200802,70729243"
ул. 12-го февраля,9,,,,47.23717,39.67181,"423488,19349384","2200804,13732284"
ул. 1-й Конной Армии,"54, 11, 3а, 3",,"5, 1","79, 66, 59, 40, 29, 24, 19",47.25169,39.76487,"424988,177001063","2207875,6115872"
ул. 1-я Героическая,,,,"29, 11",47.32207,39.74604,"432835,071437096","2206574,4395856"
ул. 1-я Героическая,,,,"29, 11",47.32175,39.74501,"432800,732579731","2206496,00985355"
"ул. 1-я Майская, 3",,,,"98, 80",47.23215,39.76112,"422820,28608307","2207557,71211265"
ул. 2-я Кольцевая,"41, 16, 26, 34а, 57, 64, 67, 71, 98, 34",,8,"44, 16, 52, 34, 40, 98, 71, 67, 59, 55",47.21184,39.65645,"420691,849923889","2199593,23297876"
ул. 2-я Кольцевая,"98, 26, 34, 34а, 41, 57, 64, 67, 71, 16",,12,"34, 40, 44, 52, 55, 59, 67, 71, 98, 16",47.21156,39.6582,"420658,469132653","2199725,27275567"
ул. 2-я Краснодарская,32,,,"56, 25, 23",47.20345,39.61364,"419815,139612492","2196333,8663928"
ул. 2-я Краснодарская,"34, 57, 94, 96, 98, 32",,8,"34, 20, 25, 56, 73, 93, 94, 96, 98, 23",47.20352,39.61337,"419823,280692655","2196313,54638392"
"ул. 2-я Луговая, 28",31,,,,47.19253,39.68987,"418502,60488179","2202089,33651191"
ул. 38-я линия,,,,"53, 24",47.23443,39.77328,"423059,408211641","2208482,45509894"
ул. 38-я линия,68,,,53,47.23468,39.77418,"423086,144959202","2208551,03512515"
ул. 50-летия РСМ,"89, 69, 54",,,"95, 92, 90, 44",47.28019,39.76768,"428153,319125631","2208137,71633301"
ул. 5-я Кольцевая,,7,,,47.21835,39.65412,"421418,588175358","2199429,05488908"
ул. 5-я Кольцевая,,7,,,47.21821,39.65436,"421402,71436196","2199446,96839365"
ул. 6-я Кольцевая,"98, 26, 34, 34а, 41, 57, 64, 67, 71, 16",,12,"34, 40, 44, 52, 55, 59, 67, 71, 98, 16",47.21185,39.65288,"420697,565829289","2199322,81258063"
ул. Андрея Сладкова,,7,,,47.21691,39.64947,"421264,509243118","2199074,10871803"
ул. Андрея Сладкова,,7,,,47.21684,39.64953,"421256,649467581","2199078,52047146"
ул. Артиллерийская,"17, 6",,,"56, 6",47.25026,39.68507,"424926,659201291","2201832,36941178"
ул. Артиллерийская,"17, 6",,,"56, 6",47.2502,39.68503,"424920,039192634","2201829,23043067"
ул. Б. Садовая,"83, 5, 6, 9, 22, 27, 42, 42а, 45, 49, 51, 2, 61, 60",,,"99, 6, 11, 12, 38, 43, 44, 45, 58, 78, 90",47.22066,39.70759,"421607,79895394","2203483,29065336"
ул. Б. Садовая,"98, 75, 67",,,,47.21765,39.6965,"421286,960498539","2202637,80622164"
ул. Б. Садовая,"83, 22, 33, 42, 42а, 45, 46, 49, 5, 77, 1, 92a, 65",,6,"45, 49, 65, 77, 83, 92",47.2232,39.71823,"421877,058286447","2204293,75186761"
ул. Б. Садовая,,,,"92, 83, 77, 65, 49, 47",47.22274,39.71866,"421825,390723173","2204325,49004585"
ул. Бабушкина,"15, 98, 4, 16, 26, 34, 41, 57, 64, 67, 71, 34а",,"12, 8","4, 40, 44, 52, 55, 59, 67, 16, 98, 34, 71",47.2111,39.68015,"420579,330210417","2201387,21368081"
ул. Бабушкина,"98, 15, 16, 26, 34, 34а, 41, 57, 64, 67, 71, 4",,"12, 8","16, 34, 40, 44, 52, 55, 59, 67, 71, 98, 8",47.21122,39.67894,"420594,202241709","2201295,77378992"
ул. Балакирева,,7,,,47.21952,39.66769,"421531,241910771","2200459,09476478"
ул. Балакирева,,,,48,47.21908,39.66805,"421481,866177348","2200485,53753629"
ул. Балакирева,,,,48,47.21933,39.66856,"421509,008425101","2200524,63476559"
ул. Беляева,,,,38,47.29934,39.72334,"430335,573166957","2204817,54005931"
ул. Береговая,,,,11,47.21544,39.72141,"421010,45534241","2204520,64529079"
ул. Благодатная,,,,55,47.2235,39.64335,"422005,079940684","2198623,12353081"
ул. Благодатная,,7,,,47.2236,39.64325,"422016,327296639","2198615,740795"
ул. Благодатная,,7,,,47.22353,39.64326,"422008,532187713","2198616,36450883"
ул. Богачёва,4,,8,"8, 4",47.19217,39.63975,"418526,731583467","2198290,51158355"
ул. Богачёва,4,,12,"8, 4",47.19228,39.63914,"418539,756297876","2198244,49555082"
ул. Бодрая,46,,,38,47.27206,39.70572,"427324,434937662","2203435,25381451"
ул. Вавилова,"99, 96, 94, 49, 1",,,"14, 99, 96, 94, 49, 43",47.26189,39.68336,"426221,764489419","2201724,47688046"
ул. Варфоломеева,9,,,"93, 25, 23, 12",47.22668,39.68241,"422308,548138799","2201587,29437212"
ул. Вересаева,,,,"88, 67, 14",47.2456,39.79814,"424272,320932194","2210383,75668475"
ул. Вересаева,14,,,"88, 67, 63, 14",47.24598,39.79812,"424314,589983515","2210382,88449475"
ул. Веры Пановой,11,,,,47.25639,39.76898,"425505,841957544","2208194,86121451"
ул. Веры Пановой,"98, 67, 54, 11, 3а, 3",,"5, 1","79, 66, 59, 40, 29, 24, 19",47.25659,39.76745,"425529,881096494","2208079,40203906"
ул. Возрождения,9,,,"93, 25, 23, 12",47.22927,39.67833,"422601,646328999","2201283,1228799"
ул. Волкова,96,,,"96, 30, 19",47.28372,39.71914,"428604,173096039","2204471,73369753"
ул. Волкова,94,,,"94, 30, 19",47.28375,39.71847,"428608,330537105","2204421,10164116"
ул. Вологодская,"92a, 83, 78, 33, 18п",,,"95, 83, 79, 78, 56, 44, 38, 29, 25, 23",47.29707,39.72186,"430085,017685289","2204701,52467598"
ул. Вологодская,"92a, 83, 78, 33, 18л",,,"95, 83, 79, 78, 56, 44, 29, 25, 23",47.29712,39.72211,"430090,270397567","2204720,52262388"
ул. Воровского,7,,9,"95, 93, 88, 67",47.24946,39.77811,"424724,687067472","2208874,00616895"
ул. Воровского,7,,9,"95, 93, 88, 67",47.24986,39.77838,"424768,840799071","2208895,13216888"
ул. Вятская,"36, 28",,,"92, 90, 44",47.2794,39.77475,"428057,174719063","2208671,24377673"
ул. Вятская,"89, 69a, 54, 22, 18п",,,"95, 92, 90, 79, 44",47.28037,39.76729,"428173,790689142","2208108,52258758"
ул. Гагринская,,,,14,47.26149,39.65238,"426216,847067627","2199379,08898648"
ул. Герасименко,"92a, 22, 33, 45, 46, 63, 65, 77, 18п, 83",,6,"45, 56, 63, 65, 66, 77, 83, 92, 25",47.25467,39.71488,"425379,804506779","2204096,92058985"
ул. Герасименко,"65, 18л, 33, 46, 63, 77, 78, 90, 90а, 92a, 47",,6,"63, 65, 25, 47, 56, 92, 83, 77, 66",47.25606,39.71593,"425533,043862274","2204178,90893939"
ул. Гикало,14,,,"88, 67, 63, 14",47.24992,39.79761,"424753,201710821","2210350,93375229"
ул. Гикало,14,,,"88, 67, 63, 14",47.24951,39.79543,"424710,131495518","2210185,21491118"
ул. Грамши,14,,,"63, 14",47.2606,39.7868,"425953,036388042","2209550,84014029"
ул. Грамши,14,,,"63, 14",47.26024,39.78739,"425912,328753976","2209594,87998669"
ул. Грисенко,14,,,"63, 14",47.26159,39.78302,"426067,495213741","2209266,4482672"
ул. Грисенко,14,,,"14, 63",47.26143,39.78308,"426049,637471704","2209270,71544711"
ул. Дарвина,"37, 15",,,,47.24098,39.6314,"423963,995818513","2197751,74525018"
ул. Дарвина,"37, 15",,,,47.24131,39.63115,"424001,011034858","2197733,45326371"
ул. Джапаридзе,51,,,,47.24041,39.6783,"423840,153888659","2201301,56830647"
ул. Джапаридзе,61,,,,47.24067,39.67716,"423870,503556047","2201215,73986711"
ул. Димитрова,11,,,,47.25937,39.78145,"425822,519020854","2209143,82259759"
ул. Димитрова,11,,,,47.25924,39.78154,"425807,961422673","2209150,41159997"
ул. Днепропетровская,69a,,,"95, 58",47.27835,39.79831,"427913,07733958","2210451,95576911"
ул. Добровольского,"45, 46, 47, 77, 96, 21",,,"30, 11, 21, 96, 38, 44, 45, 47, 66, 77, 95, 19",47.28575,39.70527,"428846,966665252","2203426,15467545"
ул. Добровольского,"45, 46, 47, 77, 94, 21",,,"30, 11, 21, 95, 38, 44, 45, 47, 66, 77, 94, 19",47.28595,39.70533,"428869,127097383","2203431,05810266"
ул. Доватора,"37, 15, 6",,,"56, 52, 6",47.23713,39.6359,"423530,084293379","2198085,05502335"
ул. Доватора,,,,52,47.23779,39.63164,"423609,038633592","2197763,77097133"
ул. Доватора,,,,"52, 40, 16",47.23781,39.60648,"423644,577927267","2195858,78919989"
ул. Доватора,"37, 15",,,,47.23829,39.6346,"423660,746081879","2197988,85224184"
ул. Доватора,6,,,"56, 6",47.23862,39.63577,"423695,902264915","2198078,07322114"
"ул. Думенко,15","69a, 69, 54, 35, 22",,,"83, 78, 56, 25, 23",47.29902,39.75184,"430265,543597834","2206972,39776282"
"ул. Думенко,15","89, 83, 78, 69a, 69, 35, 33, 22",,,,47.29943,39.75305,"430309,679878286","2207064,62872689"
"ул. Думенко,15",,,,"83, 78, 56, 25, 23",47.30006,39.75083,"430382,372755162","2206897,84075091"
ул. Евдокимова,"92a, 21, 33, 45, 47, 63, 65, 77, 78, 18л",,6,"25, 45, 47, 56, 63, 65, 66, 77, 83, 21",47.27409,39.71855,"427534,289932214","2204409,73043114"
ул. Евдокимова,"92a, 21, 33, 45, 47, 63, 65, 77, 83, 18п",,6,"25, 38, 45, 47, 56, 63, 65, 66, 77, 83, 21",47.27409,39.71819,"427534,73188221","2204382,49112536"
ул. Евдокимова,46,,,,47.27374,39.71787,"427496,213908753","2204357,6468429"
ул. Евдокимова,46,,,38,47.27373,39.71749,"427495,568925832","2204328,87600316"
ул. Ерёменко,"96, 94, 71, 67",,,"96, 94, 93, 73, 71, 67, 25, 23, 20, 10",47.23141,39.62986,"422902,091454567","2197616,6905651"
ул. Заречная,39,,,,47.21031,39.71845,"420443,768079308","2204287,18669265"
ул. Заречная,"39, 31",,,,47.2102,39.71864,"420431,30580241","2204301,38209933"
ул. Зеленая,7,,9,"95, 93, 88, 67",47.25642,39.7978,"425475,613679956","2210376,30113999"
ул. Зеленодольская,11,,,,47.25831,39.77976,"425706,647303161","2209014,09473996"
ул. Зеленодольская,11,,,,47.25833,39.77989,"425708,718936966","2209023,96841057"
ул. Зенитчиков,60,,,,47.2338,39.68803,"423093,019965247","2202026,05108336"
ул. Зенитчиков,60,,,,47.23376,39.68833,"423088,195913065","2202048,69389947"
ул. Зорге,"64, 16",,,16,47.21253,39.63542,"420795,859367485","2198001,46598512"
ул. Зорге,"67, 71, 94, 96, 26",,,"40, 10, 20, 25, 96, 52, 59, 67, 71, 73, 93, 94, 23",47.21287,39.63497,"420834,246932334","2197968,03051949"
ул. Зорге,"96, 94, 71, 67",,,"96, 94, 93, 73, 71, 67, 25, 23, 20, 10",47.23131,39.62918,"422891,867695632","2197565,00434866"
ул. Зорге/пр. Стачки,"96, 94",,8,"96, 94, 93, 73, 20, 10",47.21194,39.63487,"420730,987255855","2197958,66888966"
ул. Иловайская,"96, 83, 27",,,"96, 78, 44, 43, 23, 11",47.26523,39.68267,"426593,955611304","2201678,44982634"
ул. Иловайская,"78, 27",,,"78, 44, 23, 11",47.26531,39.6825,"426603,064122484","2201665,73305942"
ул. Инициативная,68,,,53,47.23371,39.78566,"422964,897672632","2209418,65733787"
ул. Интернациональная,4,,8,"8, 4",47.20423,39.67736,"419819,106715782","2201163,07900891"
ул. Интернациональная,4,,12,"8, 4",47.20434,39.67719,"419831,551225959","2201150,40373396"
ул. Камская,"42а, 42, 36, 35а, 35, 28, 3а",,,"59, 58, 24",47.26989,39.78955,"426982,654321282","2209774,78324922"
ул. Камская,"42а, 42, 36, 35а, 35, 3а",,,"59, 58, 24",47.2702,39.78967,"427016,979310843","2209784,3913696"
ул. Карпатская,"96, 94, 71, 67",,,"48, 10, 96, 94, 73, 71, 67, 56",47.23233,39.62634,"423009,000820606","2197351,91624351"
ул. Карпатская,"96, 94, 71, 67",,,"96, 94, 73, 71, 67, 56, 48, 10",47.23243,39.62576,"423020,882206609","2197308,18974371"
ул. Каширская,4,,12,"73, 8",47.1989,39.61953,"419301,491092891","2196771,28533883"
ул. Каширская,4,,8,"73, 4",47.19887,39.61973,"419297,891174058","2196786,38141126"
ул. Кизитериновская,7,,9,"88, 67, 95, 93",47.2523,39.78336,"425034,293062395","2209276,28878819"
ул. Кизитериновская,7,,9,"95, 93, 88, 67",47.25308,39.78442,"425119,774730296","2209357,85950294"
ул. Коминтерна,4,,8,"4, 8",47.20029,39.66565,"419395,997900352","2200268,48583648"
ул. Коминтерна,4,,12,"8, 4",47.20056,39.66569,"419425,963322147","2200272,02332056"
ул. Конституционная,3,,,,47.26932,39.77931,"426931,19966786","2208998,9349587"
ул. Конституционная,3,,,,47.26953,39.77931,"426954,546246564","2208999,29547327"
ул. Кузнечная,4,,8,"73, 4",47.19362,39.62553,"418706,575696903","2197215,7054123"
ул. Кулагина,4,,12,"8, 4",47.20266,39.67165,"419651,820000834","2200727,53225395"
ул. Кулагина,"64, 57, 34а, 34, 26, 16, 15, 98, 67, 71",,12,"98, 16, 34, 40, 44, 52, 55, 59, 71, 67",47.21114,39.66731,"420600,09908105","2200414,60194228"
ул. Куликовская,"99, 96, 83, 49, 1",,,"99, 96, 78, 49, 44, 43, 14, 11",47.26192,39.68531,"426222,64130888","2201872,11240608"
ул. Курганная,51,,,,47.2397,39.68382,"423754,24373412","2201718,18731244"
ул. Курганная,61,,,,47.23983,39.68342,"423769,20085901","2201688,14267201"
ул. Кустанайская,"67, 71, 94, 96, 26",,,"40, 10, 20, 25, 96, 52, 59, 67, 71, 73, 93, 94, 23",47.22028,39.63205,"421661,862580763","2197761,0999648"
ул. Кустанайская,"71, 67, 26, 94, 96",,,"71, 10, 20, 23, 25, 40, 52, 67, 73, 93, 94, 96, 59",47.21999,39.63201,"421629,674939993","2197757,51199827"
ул. Лазо,6,,,"56, 6",47.24178,39.64142,"424039,835179884","2198511,90698905"
ул. Лазо,6,,,"56, 6",47.24211,39.64227,"424075,415618547","2198576,89174577"
ул. Лелюшенко,"89, 83, 78, 54, 33",,,"83, 78, 56, 25, 23",47.29657,39.73709,"430010,898784165","2205852,51097504"
ул. Лелюшенко,"83, 78, 54, 33, 89",,,"83, 78, 56, 25, 23",47.29655,39.73746,"430008,227883179","2205880,45953687"
ул. Лермонтовская,,6,,,47.23479,39.73292,"423147,622885356","2205426,98274566"
ул. Лермонтовская,,6,,,47.2355,39.73257,"423226,980832264","2205401,74596151"
ул. Лермонтовская,"77, 5, 22, 33, 42, 42а, 45, 46, 1, 65, 83, 92a, 49",,6,"45, 49, 65, 77, 83, 92",47.2307,39.71498,"422714,853127496","2204061,15981958"
ул. Лермонтовская,"90а, 33, 35, 35а, 46, 47, 58, 65, 77, 1, 90, 92a, 99, 78",,6,"47, 49, 65, 77, 83, 92",47.2317,39.71487,"422826,161816403","2204054,63739031"
ул. Лесная,"37, 15",,,,47.24385,39.62807,"424287,437736472","2197505,16870874"
ул. Лесная,"37, 15",,,,47.24332,39.62884,"424227,503377196","2197562,4404354"
ул. Лесозащитная,"42а, 42, 35а, 35, 3а",,,"59, 58, 24",47.27163,39.79888,"427165,330342396","2210483,73132951"
ул. Лесозащитная,"42а, 42, 35а, 35, 3а",,,59,47.27187,39.79906,"427191,805276115","2210497,75691921"
ул. Лесопарковая,15,,,48,47.22695,39.64892,"422381,397106188","2199051,53633764"
ул. Лесопарковая,"37, 15",,,"93, 48, 25, 23, 20",47.2278,39.64765,"422477,539828716","2198956,97467803"
ул. Лесопарковая,37,,,"93, 25, 23, 20",47.22763,39.64809,"422458,070083066","2198989,97269155"
ул. Листопадова,,,2,,47.22415,39.76508,"421926,209052499","2207843,69476034"
ул. Литовская,6,,,"56, 6",47.2447,39.64688,"424357,364239356","2198930,84892797"
ул. Литовская,6,,,"56, 6",47.24435,39.64649,"424318,959545873","2198900,65652857"
ул. Львовская,6,,,"93, 56, 55, 52, 48, 25, 23, 20, 6",47.23242,39.63445,"423008,356544033","2197966,21140843"
ул. Львовская,6,,,"93, 56, 55, 52, 48, 25, 23, 20, 6",47.23263,39.63481,"423031,231614802","2197993,87557169"
ул. М. Горького,"65, 1, 5, 22, 33, 42, 42а, 45, 49, 77, 83, 92a, 46",,6,"92, 45, 49, 65, 77, 83",47.22783,39.71625,"422394,223266584","2204152,15088089"
ул. М. Горького,"90а, 33, 35, 35а, 46, 47, 58, 65, 77, 1, 90, 92a, 99, 78",,6,"47, 49, 65, 77, 83, 92",47.22668,39.71704,"422265,402809142","2204209,90318717"
ул. Магнитогорская,4,,12,"73, 8",47.19512,39.62778,"418870,371015398","2197389,10429793"
