field_1,route_n,next_stop_,name,bus,tram,trolley,minibus,lat,lon,Широта.(МС,Долгота.(М,n_bus,n_tram,n_trolley,n_minibus,n_all,NA,name_2,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,name_3,place,name_en,name_ru,boundary,cladr_code,population,addr_regio,admin_leve,addr_count,addr_distr,addr_postc,landuse,addr_city,source,wikipedia,populati_1,fixme,cladr_name,cladr_suff,note,oktmo_user,old_name,official_s,is_in_city,website,descript_1,name_udm,is_in,source_url,name_de,name_lt,start_date,name_os,source_ref,name_uk,contact_we,official_n,pop,denspop,beer_apt,coffee_apt,food_apt,pop_densit
1073,60,"343,862514521161",ул. Самойловская,60,NA,NA,NA,47.23365,39.67834,423088.57205,2201292.02504,1,0,0,0,1,20,Новое поселение,,,,,,1,0,-1,,,Р›РµРЅРёРЅСЃРєРёР№,,,,administrative,,82173,,9,,,,,,,ru:Ленинский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,82173,421.65193,20.00000,,40.00000,64.80000
930,60,"264,030426910566",ул. Зенитчиков,60,NA,NA,NA,47.23376,39.68833,423088.19591,2202048.69390,1,0,0,0,1,13,Новое поселение,,,,,,1,0,-1,,,Р›РµРЅРёРЅСЃРєРёР№,,,,administrative,,82173,,9,,,,,,,ru:Ленинский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,82173,421.65193,9.00000,,40.00000,96.00000
4051,60,"41,971876891891",пер. Гвардейский,"60, 9",NA,NA,"93, 25, 23, 12",47.23159,39.68974,422845.17874,2202151.46208,2,0,0,4,6,5,Новое поселение,,,,,,1,0,-1,,,Р›РµРЅРёРЅСЃРєРёР№,,,,administrative,,82173,,9,,,,,,,ru:Ленинский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,82173,421.65193,3.00000,,50.00000,24.00000
4041,60,"277,505013023774",пер. Гвардейский,"60, 9",NA,NA,"23, 12, 93, 25",47.22853,39.69105,422503.34489,2202245.02747,2,0,0,4,6,4,Новое поселение,,,,,,1,0,-1,,,Р›РµРЅРёРЅСЃРєРёР№,,,,administrative,,82173,,9,,,,,,,ru:Ленинский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,82173,421.65193,2.00000,,60.00000,96.00000
5001,60,"413,690874512897",пер. Халтуринский,"60, 9",NA,NA,"93, 25, 23, 12",47.23276,39.69582,422967.63548,2202614.01826,2,0,0,4,6,7,Комсомольская площадь,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,8.00000,,50.00000,96.00000
10921,60,"351,000385071696",ул. Текучева,"60, 9",NA,NA,"93, 25, 23, 12",47.23381,39.70107,423077.82004,2203013.48581,2,0,0,4,6,22,Комсомольская площадь,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,11.00000,13.00000,70.00000,12.00000
99412,60,"498,406460798641",ул. Малюгиной,"83, 5, 6, 9, 21, 22, 27, 42, 42а, 45, 49, 51, 2, 61, 60",NA,NA,"99, 6, 11, 12, 21, 38, 43, 44, 45, 58, 78, 90",47.22975,39.70346,422623.48495,2203187.05717,15,0,0,12,27,16,ЦЕНТР,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,11.00000,9.00000,60.00000,144.00000
98711,60,"519,888306676651",ул. Максима Горького,"83, 5, 6, 9, 22, 27, 42, 42а, 45, 49, 51, 2, 61, 60",NA,NA,"99, 6, 11, 12, 38, 43, 44, 45, 58, 78, 90",47.22512,39.70555,422106.15900,2203336.89884,14,0,0,11,25,14,ЦЕНТР,,,,,,1,0,-1,,,Р›РµРЅРёРЅСЃРєРёР№,,,,administrative,,82173,,9,,,,,,,ru:Ленинский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,82173,421.65193,13.00000,24.00000,70.00000,144.00000
86111,60,"109,469719952397",ул. Б. Садовая,"83, 5, 6, 9, 22, 27, 42, 42а, 45, 49, 51, 2, 61, 60",NA,NA,"99, 6, 11, 12, 38, 43, 44, 45, 58, 78, 90",47.22066,39.70759,421607.79895,2203483.29065,14,0,0,11,25,11,ЦЕНТР,,,,,,1,0,-1,,,Р›РµРЅРёРЅСЃРєРёР№,,,,administrative,,82173,,9,,,,,,,ru:Ленинский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,82173,421.65193,4.00000,26.00000,90.00000,55.20000
29310,60,"309,078751330161",Консерватория,"61, 6, 9, 27, 33, 35, 35а, 47, 51, 2, 60, 75, 90, 90а, 99, 78, 58",NA,NA,"12, 44, 43, 58, 78, 90, 99, 20, 11, 6, 47, 38",47.21968,39.70771,421498.70079,2203490.59853,17,0,0,12,29,1,ЦЕНТР,,,,,,1,0,-1,,,Р›РµРЅРёРЅСЃРєРёР№,,,,administrative,,82173,,9,,,,,,,ru:Ленинский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,82173,421.65193,9.00000,13.00000,80.00000,216.00000
29311,61,"109,469719952397",Консерватория,"61, 6, 9, 27, 33, 35, 35а, 47, 51, 2, 60, 75, 90, 90а, 99, 78, 58",NA,NA,"12, 44, 43, 58, 78, 90, 99, 20, 11, 6, 47, 38",47.21968,39.70771,421498.70079,2203490.59853,17,0,0,12,29,1,ЦЕНТР,,,,,,1,0,-1,,,Р›РµРЅРёРЅСЃРєРёР№,,,,administrative,,82173,,9,,,,,,,ru:Ленинский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,82173,421.65193,9.00000,13.00000,80.00000,216.00000
86112,61,"519,888306676651",ул. Б. Садовая,"83, 5, 6, 9, 22, 27, 42, 42а, 45, 49, 51, 2, 61, 60",NA,NA,"99, 6, 11, 12, 38, 43, 44, 45, 58, 78, 90",47.22066,39.70759,421607.79895,2203483.29065,14,0,0,11,25,10,ЦЕНТР,,,,,,1,0,-1,,,Р›РµРЅРёРЅСЃРєРёР№,,,,administrative,,82173,,9,,,,,,,ru:Ленинский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,82173,421.65193,4.00000,26.00000,90.00000,55.20000
